Fri Feb 28 2025 12:11:06 GMT-0500 (Eastern Standard Time) - Run Time: 3217ms

Cross Tabulation Query Form - Trip - 2022

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest


Filters:
(Regional municipality of destination - region_dest In 1
and
2022 Trip purpose of destination - purp_dest2022 In 46
and
Primary travel mode of trip - mode_prime In W, )

Trip 2022
ROW : gta06_orig
COLUMN : gta06_dest
  gta06_orig  gta06_dest      total
         267           9         15
         267         267         58
         267         270         12
         267         271          9
         267         277          8
         267         278         28
         268           4         37
         268          16         74
         268         270         35
         268         271         51
         268         272          8
         269           1         13
         269         254         13
         269         266         23
         269         269        143
         269         270         94
         269         273         55
         270           1          4
         270          15          4
         270         266        105
         270         268         78
         270         270        337
         270         271         83
         270         277         22
         270         280          4
         271          14         56
         271          16         24
         271          63         35
         271         266         25
         271         268          9
         271         269          4
         271         270         19
         271         271         32
         271         272        104
         271         273         13
         271         277          9
         271         278          4
         271         280        123
         272          19         32
         272         264          4
         272         267          7
         272         269         54
         272         270        122
         272         272         78
         272         273         31
         272         277         12
         272         282         52
         272         283          4
         273          46         18
         273         270         40
         273         272         17
         273         274         35
         273         277         11
         273         279          7
         274         274         74
         274         276          9
         274         277          7
         274         278          7
         275         264         64
         275         275         14
         276         273        107
         276         274         98
         276         275         10
         276         280         13
         276         281         92
         277         269          4
         277         274         11
         277         277        165
         277         278          6
         277         279         57
         278          26          3
         278         264         13
         278         272        177
         278         277        320
         278         278         12
         278         280         27
         279          14         16
         279         277         36
         279         279         37
         279         280         13
         279         282          4
         280          76         13
         280         258          7
         280         273        109
         280         277         11
         280         282         58
         281         277         77
         281         281         81
         282          19         20
         282         263        111
         282         277         16
         282         278         13
         282         280         71
         282         281         24
         282         282        108
         284         283         14
         285         112         48
         285         120         41
         285         121         84
         285         169          3
         285         285        120
         285         286         41
         285         303         17
         286         285         39
         286         286         88
         286         287         75
         286         288         13
         287         111         64
         287         285         10
         287         286         43
         287         287         63
         287         288        127
         287         289         34
         288         287         56
         288         288        115
         288         301         22
         289         287         22
         289         290         97
         290         290        217
         293         290         22
         293         294         63
         294         290         39
         294         294        121
         294         295        226
         295         290         91
         295         294          4
         295         295         34
         297         297         56
         297         309         24
         298         297         12
         298         298         42
         301         120         20
         301         285         27
         301         288         11
         301         301          6
         301         302         21
         302         120          7
         302         303         13
         303         304         14
         305         313         26
         305         317         30
         305         318         30
         306         304          7
         306         306         15
         306         313         14
         306         314         37
         306         315         16
         306         320          6
         307         306         62
         307         307         21
         307         315         56
         307         322         17
         309         309         22
         312         329         14
         313         313        143
         313         314         66
         313         315         34
         313         322         44
         314         314         40
         315         305         17
         315         306          7
         315         314         31
         315         315         23
         316         120          5
         316         125         11
         316         316        180
         316         317        180
         317         120         31
         317         127          7
         317         305         11
         319         344         43
         320         320          8
         321         320         10
         321         321         12
         322         314         15
         322         321          6
         324         324         36
         324         325         11
         325         325         11
         325         326         29
         325         335         23
         326         325         32
         328         329         27
         329         329         27
         330         330         15
         332         333        121
         332         336        121
         333         333         34
         333         335          7
         334         335         25
         335         325         11
         335         335         26
         335         336         11
         336         335         30
         337         337         42
         337         338         20
         338         320          5
         339         320         16
         342         348         75
         343         142          6
         343         343         47
         343         348         23
         344         343         20
         347         347         73
         350         350         40
         351         350         72
         363         364         85
         363         366          9
         366         366         30
         366         368         41
         368         361         23
         368         366         41
         368         368         15
         368         383        104
         370         370          4
         373         373         19
         373         376         19
         382         383         20
         382         384         43
         383         383         41
         383         384         29
         384         384         29
         390         390         19
         391         391         29
         394         399         15
         397         398         17
         397         412         27
         398         391         80
         400         400         85
         403         403         68
         405         405         68
         406         406         16
         409         408         25
         410         414         20
         412          59         15
         412         412         20
         412         416          5
         413         416         17
         413         419         37
         413         422         66
         414         410         34
         414         414          7
         414         416        188
         415         155         46
         416         416        100
         420         394        179
         420         416          6
         422         179          7
         424         440         22
         425         425         11
         426         440         17
         427         427         29
         427         428         34
         427         429         12
         427         436          6
         427         440        108
         428         427         24
         428         436         30
         429         436        153
         430         430        132
         430         431        124
         431         430         60
         431         431          9
         432         432          5
         432         433         65
         432         434         11
         433         445         38
         435         435         26
         435         438         33
         437         437          5
         438         195          5
         438         434         11
         438         438         45
         439         427         24
         439         436        231
         439         439         34
         439         442         20
         439         443         19
         439         452         20
         440         440          9
         441         441         31
         442         438         23
         442         439         83
         442         442         17
         442         443         87
         442         444         15
         442         450         23
         443          55         20
         443         435         24
         443         438         43
         443         443         74
         443         444         67
         443         450         86
         443         452         33
         444         438         20
         444         444         16
         445         394         58
         446         414          4
         446         433         26
         446         446          8
         447         452         27
         447         453         12
         448         438         10
         448         443         15
         448         444         27
         448         450         54
         448         458         20
         450         438         84
         450         441         21
         450         442         37
         450         443         69
         450         444         19
         450         451         73
         450         452        111
         450         454         20
         450         457         38
         452         439         19
         452         442         84
         452         443         19
         452         444         59
         452         450         14
         452         451         10
         452         452         45
         452         453         93
         452         454         51
         453         443         51
         453         452         21
         454         441          6
         454         443         30
         454         451         43
         454         452         35
         454         454         54
         454         455         59
         455          80          5
         455         456         61
         456         442         22
         456         444         12
         456         452         90
         456         453         84
         456         457         33
         456         463         30
         457         457         70
         457         462         70
         457         463          8
         458         444         38
         460         460         26
         460         461         33
         460         469         17
         460         470          7
         461         461          3
         461         469         77
         462         463          6
         462         469         50
         463         450         25
         463         462         25
         463         463        115
         463         464         30
         463         465         23
         464         464         73
         464         468          8
         465         463         31
         467         462         24
         467         467        112
         467         481          5
         468         460         44
         468         468        104
         469         461         27
         469         469         19
         470         470         17
         471         469          8
         472         472         55
         476         475         23
         476         478         16
         477         477          9
         478         468         19
         478         481         37
         479         481         21
         480         480         11
         480         588          7
         481         481        166
         482         480         13
         482         482         26
         482         484          8
