Fri Feb 28 2025 12:08:58 GMT-0500 (Eastern Standard Time) - Run Time: 3538ms

Cross Tabulation Query Form - Trip - 2022

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest


Filters:
(Regional municipality of destination - region_dest In 1
and
2022 Trip purpose of destination - purp_dest2022 In 46
and
Primary travel mode of trip - mode_prime In D, M, T, U, )

Trip 2022
ROW : gta06_orig
COLUMN : gta06_dest
  gta06_orig  gta06_dest      total
         203         542         12
         204          36         45
         204          59         28
         204          65          8
         204          66          4
         204          70         12
         204         188         34
         204         197         15
         204         227         13
         204         436         14
         205          25         16
         205          45         49
         205          48          8
         205          51         13
         205          64        107
         205          67         14
         205         116         17
         205         173         12
         205         195          6
         205         203         14
         205         205          7
         205         209          5
         205         211         18
         205         221          9
         205         252         25
         205         283         13
         205         314         19
         205         407          8
         205         528         18
         205         538         22
         205         540         11
         206          66          8
         206         204          7
         206         205         52
         206         220         14
         206         227         26
         206         270         11
         207          51          5
         207          71         16
         207          76         47
         207          85         17
         207         169         17
         207         197         15
         207         200         38
         207         209         14
         207         217         46
         207         242         16
         207         284         47
         207         389          9
         209           9         11
         209          15         10
         209          20         32
         209          21         11
         209          97         33
         209         170         31
         209         203         30
         209         204         16
         209         209         16
         209         211         24
         209         215         11
         209         218          7
         209         227         11
         209         240         24
         209         264         18
         209         279         15
         209         426         29
         209         484         28
         210          70         15
         210          82         11
         210         146         25
         210         217         52
         210         220         33
         210         227          9
         210         228          4
         210         242         51
         210         272         21
         210         532         51
         210         543         48
         211          39         22
         211          45         14
         211          50         11
         211          74         16
         211         118         20
         211         211          5
         211         212          4
         211         213         30
         211         216         24
         211         217         11
         211         225         64
         211         237         32
         211         284         16
         211         367         38
         211         436         29
         211         562         18
         211         579         42
         212          73         11
         212         189         18
         212         197         11
         212         200         11
         212         202         19
         212         215         12
         212         216         20
         212         218         19
         212         242         15
         212         250         13
         212         252         12
         212         284         36
         213          82          6
         213         158          5
         213         223          9
         213         227         35
         213         436         21
         213         488         14
         214          85         11
         214         112         12
         214         188          9
         214         193          8
         214         195         17
         214         200         10
         214         205         12
         214         209          5
         214         210         39
         214         214          9
         214         218         14
         214         226         13
         214         227         19
         214         239         10
         214         264          9
         214         284         20
         214         349          9
         214         402         15
         214         421          9
         214         440         20
         214         503         13
         215          93          9
         215         195         10
         215         216          8
         215         218         10
         215         225          6
         215         227         93
         215         235         19
         215         242         12
         215         246         10
         215         409         55
         215         481         39
         216          14          6
         216          37         16
         216          65         23
         216          69         10
         216          71          6
         216         157         25
         216         165          5
         216         193          4
         216         200         17
         216         207         13
         216         208          8
         216         216         15
         216         217         51
         216         218         38
         216         219         10
         216         220         16
         216         221         15
         216         227         44
         216         229         32
         216         252          9
         216         257          9
         216         271         63
         216         283         29
         216         284        120
         216         293         13
         216         445         15
         217           2         20
         217           8          9
         217          55          8
         217          70          7
         217         112         46
         217         113         11
         217         195          8
         217         202         20
         217         208         20
         217         211          5
         217         217         57
         217         218          6
         217         219          8
         217         220         25
         217         223         20
         217         227         31
         217         232         49
         217         264         11
         217         284         10
         217         421         11
         217         484          6
         217         535         16
         218         189         18
         218         195         13
         218         211         10
         218         227         36
         218         284         11
         218         481         19
         219          71          8
         219         195         18
         219         200         49
         219         205         41
         219         217         17
         219         219         13
         219         222         22
         219         223         21
         219         227         17
         219         236          8
         219         242          8
         219         243         43
         219         270         15
         219         284         20
         219         503         22
         219         515          9
         220           6         10
         220          71         12
         220         211         22
         220         217         20
         220         220         22
         220         236         10
         221         211         24
         221         222         19
         221         239         69
         221         282         19
         221         529         23
         222          70         23
         222         209         12
         222         225         25
         222         237          9
         222         243         40
         222         281         19
         222         282         28
         223          94         24
         223         108         24
         223         112         22
         223         218         19
         223         223          7
         223         227          6
         223         236         21
         223         239         30
         223         242          8
         223         243         36
         223         246         38
         223         259         23
         223         501         16
         223         516          7
         223         525          8
         223         532         17
         223         587         27
         224         225         12
         224         488          8
         224         512         52
         224         595         12
         225         217          4
         225         468         11
         226         200         40
         226         235         14
         226         407         13
         227          11         26
         227          65         18
         227          70         15
         227         195         20
         227         196         13
         227         215         51
         227         218         14
         227         227         19
         227         228         22
         227         260         12
         228           2         19
         228          56        101
         228          65         45
         228         101          8
         228         157          9
         228         189         23
         228         203         11
         228         214         11
         228         225         35
         228         227         12
         228         229         13
         228         230         16
         228         231         25
         228         235         12
         228         240         10
         229          66          9
         229         195         24
         229         229         70
         229         236         30
         229         293         47
         229         408         47
         229         436         11
         229         444         90
         229         464         13
         230          59         10
         230          70          6
         230         195          7
         230         196          9
         230         215         32
         230         217          9
         230         218          8
         230         225         12
         230         227         11
         230         230         43
         230         236         40
         230         237          9
         230         394         10
         230         455         15
         230         566         75
         230         579         51
         230         600         12
         231         187         21
         231         226         10
         231         236         55
         231         239         31
         231         529         50
         232         205          5
         232         228         57
         232         564         13
         232         594         28
         233          85         47
         233         110        127
         233         209          7
         233         234         44
         233         236         36
         233         240         82
         233         394         48
         233         487         20
         233         527          7
         233         604          5
         233         609          7
         234         164          5
         234         223         15
         234         235         11
         234         270         20
         234         464         24
         234         504          7
         234         564          7
         234         597          8
         235          62          5
         235         231          8
         235         236         16
         235         237         31
         235         239          5
         235         484         11
         236         182         17
         236         236          4
         236         243         24
         236         260         41
         236         281         64
         237          64         11
         237         231          8
         237         235         30
         237         236        107
         237         240         72
         237         436         10
         237         444          9
         237         476         10
         238         187         10
         238         218         10
         238         235         11
         238         236         35
         238         242         24
         238         289          7
         238         326         17
         238         481         58
         238         547         62
         239          17         53
         239          59         30
         239          66          5
         239          82          4
