Fri Feb 28 2025 12:06:52 GMT-0500 (Eastern Standard Time) - Run Time: 3348ms

Cross Tabulation Query Form - Trip - 2022

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest


Filters:
(Regional municipality of destination - region_dest In 1
and
2022 Trip purpose of destination - purp_dest2022 In 46
and
Primary travel mode of trip - mode_prime In B, G, J, )

Trip 2022
ROW : gta06_orig
COLUMN : gta06_dest
  gta06_orig  gta06_dest      total
         428         180         10
         431          52        128
         431          65         25
         431          69         25
         431          73          5
         431         440         76
         435          52         60
         436         438        145
         437         204          5
         438          65         22
         438          66         43
         438          71         20
         439         431         61
         440         394         77
         441          55         14
         441          76         10
         442          67         11
         442         203         31
         443           2          5
         443         190         17
         443         211         20
         443         282         24
         443         483         11
         444          55         21
         444          58          7
         444          59         35
         444          66         18
         444          67         26
         444          70         46
         444         228         19
         446         443         10
         447         391         34
         447         490         66
         448         443         91
         450          37        104
         450          47          8
         450         120         26
         450         164         16
         450         394          6
         450         435         22
         450         473         52
         452          46         42
         452          58         22
         452          64         11
         452          65         24
         452          70         18
         452          76         41
         452         110         10
         452         116         24
         452         204         16
         452         214         39
         452         278          8
         453          43          7
         453         110          3
         454          25         12
         454          59         20
         454          63         62
         454          64         49
         454          65         26
         454          66         33
         454         443         20
         455          25          5
         455          47         16
         455          48         12
         455          55         19
         455         279         50
         456          69         10
         460         442         14
         461         444         91
         463          65         79
         463         452         72
         464          84         14
         464         222         15
         464         391         56
         466          72          8
         467          67          4
         467         397         16
         467         443         59
         467         464          9
         468         452         51
         470         463         85
         470         470         23
         474          66          8
         476          43         50
         476          73         65
         476         264         27
         477          89         10
         478          43          8
         478         464          9
         478         591         31
         480         509        107
         481          66         15
         481         279          4
         482          59          8
         482         225         61
         482         481         13
         482         581         13
         483         227         16
         483         264         15
         484         240          8
         484         282         21
         484         481        166
         485          25         25
         490           2         16
         490         120          7
         490         254          5
         490         400          9
         490         493         19
         491          62         19
         491         230         14
         493          62         34
         495          66          8
         495         276         21
         497         567          4
         500           2         54
         500         240         17
         500         532         15
         501          43         25
         502          87         11
         502         488         17
         502         564         17
         503          56         16
         509         490         53
         509         532         80
         512         554         23
         512         573         14
         514          52          7
         514         557         23
         518         537         16
         519          70         31
         519         552         14
         520         531         62
         521          59          6
         526         487         33
         528         268          5
         528         536         50
         531          66          5
         531         529         50
         532          66         28
         533         277          7
         535          70         16
         536          59        221
         536         532         17
         536         538         17
         536         552         11
         537         526         51
         538          14         14
         538          37         10
         538          48          4
         538          52        238
         538          67          9
         538          70          7
         538          71         22
         538         279         10
         539          64          7
         539         249          7
         539         251          5
         539         541          7
         539         591         27
         540          76         28
         540         541          5
         541         251          7
         541         295          4
         542          65          8
         542          75         44
         544          64          4
         544          87         22
         545         253        125
         546          41          4
         546          47         24
         547          37          4
         550          70         13
         551         579          6
         554          66         61
         555         566         34
         560          50         19
         560         267         27
         562         569         91
         562         613         56
         563         490         15
         568         279         22
         569          85         28
         570         564         14
         571         559         72
         572          57         10
         574         571        121
         575         394         45
         575         564         15
         578         360         23
         578         625        111
         579         490        121
         583         259          9
         585         490         45
         585         603         21
         587          57         18
         591         443         17
         591         542         22
         591         598         56
         592          55          4
         592          64         54
         592         102         14
         594          65          7
         594         212          9
         594         484         37
         595          59          4
         595         120         73
         595         487         10
         596         487          4
         597          64          8
         597         490         63
         600          45          4
         601         564         16
         602         511         14
         608          66         20
         612         623         79
         617         608          6
         618          59         14
         618          63         24
         619          37         27
         620         452         32
         621         490         66
        1034          43          3
        1040          51          4
        1043          36         10
        1043          58          5
        1046          66          5
        1046         202          5
        1050          64          4
        1052          86          8
        1076          64          6
        1084          65         10
        1085          64          7
        1088          58         11
        1096          37         14
        1125          67         14
        1131          72          4
        1134          65          8
        1179          70          6
        1180          58         15
        1185          45          4
        1188         180         23
        1202          66          6
        1203          55          5
        1207          63         14
        1210          66          3
        1217          58         88
        1217          64          9
        1220          66          5
        1238          66          5
        1264          34         17
        1318          68          4
        1318          69          4
        2081          66         21
        2084          52         46
        2084          58         97
        2084          59         97
        2086          59         20
        2098          59         42
        2121          43         44
        2122         203          4
        2122         391         16
        2124          65         18
        2124         444         21
        2125          26         28
        2142          64         15
        2145          66         10
        2223          64         32
        2242          55        117
        2244         444          5
        2248          34         14
        2256         360         11
        2353          65          8
        2368          59         19
        2384          34          7
        2387          69          6
        2426          42         10
        2429         623        103
        2433          43          4
        2448          58         13
        2451          64         25
        2554          58          4
        2554         196        120
        2554         268        120
        2557          34          4
        2562          58          7
        2562          59          4
        2562          66        291
        2615          70         38
        2619          64         12
        2622          38          7
        2708          85          6
        2710          65          7
        3345          64         11
        3348          64          3
        3349          58          6
        3356          59          7
        3368          70         51
        3418          68        109
        3447         391        127
        3491          65          4
        3517          59         14
        3614          86         20
        3628          59         60
        3631          65          5
        3635          59         38
        3641          65          6
        3642          45          4
        3642          58          5
        3642          70          4
        3643         161         10
        3644          58          4
        3644          59         11
        3647          64          7
        3649         186         47
        3650          63          7
        3650          67         29
        3655          58         20
        3655          64          5
        3655          81         16
        3662          86          9
        3669          37         11
        3674          59         60
        3679          52         36
        3681          67         14
        3690          58          7
        3710         313         13
        3812          53          5
        3816          73         22
        3816         106         13
        3838         312         44
        3841         279         17
        3867          99         34
        3877          38          5
        3877          64         11
        4001          59          4
        4003          64         13
        4012          64          8
        4014          58          5
        4017          58          8
        4020          72         14
        4025          67         36
        4035          59          9
        4052          38         28
        4052          58         76
        4052          85         10
        4052         201         19
        4059          59         17
        4059          64          6
        4069          59         45
        4071          58          4
        4077          58         12
        4077          59         13
        4077          85         11
        4080          15         25
        4084          64         16
        4110          65         10
        5086          73          5
        5093          66         46
        5144          58         18
        5158          59          6
        5159          64         16
        5168          67          8
        5180          38          4
        5196          59         10
        5200          66          4
        5201          58         46
        5205          61         13
        5212          81         10
        5235          51         11
        5238           9         11
        6044         228         20
        6054          58         17
        6068          59         10
        6113          64          5
        6168          64        135
        6352          58        103
        7028          64         31
        7094          86          3
        7134          58          3
        7141          66          8
        7144          67          4
        7254          58          3
        7296          21          4
        7313          64         40
        7315          65          5
        8069          37          3
        8152          58          4
        8527          85         30
        8570          37         51
        8592          58         29
        8621          70         12
        8711          15         64
        8816          66          8
        8851          66          8
        8854          59          6
        8915          63          4
        9002          37         21
        9003          58         19
        9012          64         39
        9998         283          4
